,1,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
51,52,4/26/2023 21:19:36,TH-21,Ban Khai,Rayong,Thailand,76,p2,27,1010,80,1.61,164
52,53,4/26/2023 21:20:07,TH-50,Chiang Mai,Chiang Mai,Thailand,124,p2,24,974,44,4.12,240
53,54,4/26/2023 21:20:38,TH-52,Hang Chat,Lampang,Thailand,96,p2,24,1009,74,0.17,98
54,55,4/26/2023 22:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,28,1009,48,3.76,188
55,56,4/26/2023 22:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,75,p2,27,1010,89,0,0
56,57,4/26/2023 22:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,79,p2,29,1010,66,0,0
57,58,4/26/2023 22:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,80,p2,30,1010,75,0,0
58,59,4/26/2023 22:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,153,p2,31,1009,60,2.75,199
59,60,4/26/2023 22:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,110,p2,27,1009,59,2.33,163
60,61,4/26/2023 22:18:32,TH-16,Ban Mi,Lop Buri,Thailand,66,p2,27,1009,57,2.82,177
61,62,4/26/2023 22:19:03,TH-20,Na Kluea,Chon Buri,Thailand,93,p2,29,1010,74,3.09,183
62,63,4/26/2023 22:19:34,TH-21,Ban Khai,Rayong,Thailand,29,p2,28,1010,67,1.01,183
63,64,4/26/2023 22:20:05,TH-50,Chiang Mai,Chiang Mai,Thailand,116,p2,24,986,49,2.57,220
64,65,4/26/2023 22:20:36,TH-52,Hang Chat,Lampang,Thailand,86,p2,24,1010,77,0.4,40
65,66,4/26/2023 23:15:32,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,28,1009,47,3.92,188
66,67,4/26/2023 23:16:03,TH-11,Bang Phli,Samut Prakan,Thailand,92,p2,28,1009,78,1.54,0
